"","Kingdom","Phylum","Class","Order","Family","Genus","Species","BNW-DC","BNW-PC1","BNW-PC2","BNW-PC3","BNW-PC4","BNW-SI","BNW-ST","SHNW-DC1","SHNW-DC3","SHNW-DSI","SHNW-PC1","SHNW-PC2","SHNW-PC3","SHNW-PSI","SHNW-ST"
"c11f8543b6bd0edd4e8fb065cf4d231f","d__Archaea","Halobacterota","Methanomicrobia","Methanomicrobiales","Methanocorpusculaceae",NA,NA,0.001716462631624,8.88301622816027e-05,2.07413798825208e-05,0.000104147982711435,0.000919890367164438,0,0,0,0,0,0,0,0,0,0
"f15614638ec852a1a13d53076ce826ed","d__Archaea","Halobacterota","Methanosarcinia","Methanosarciniales","Methanosarcinaceae",NA,NA,0,0.000244282946274407,2.4889655859025e-05,1.15719980790483e-05,0,0,0,0,0,0,0,0,0,0,0
"7472ec95c29d49174119768f69de5fef","d__Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae",NA,NA,0.000124133207773307,0,1.24448279295125e-05,0.000202509966383346,6.78607647908192e-05,0,0,0,0,0,0,0,0,0,0
"b43ce775072c45ba1797722aa94648e4","d__Archaea","Thermoplasmatota","Thermoplasmata","Methanomassiliicoccales","Methanomethylophilaceae",NA,NA,0.0015923294238507,0,0,0.000665389889545278,0.000678607647908192,0,0,0.00241597247724154,0.0031611355940575,0,0.00015059160989602,0.000711672680508908,0.00223665816955842,0,0
"d72faa43a44d0acff156be88534e7c19","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales",NA,NA,NA,7.27677424878007e-05,0,0.000244748282613746,0.000133077977909056,5.27805948373038e-05,0,0,0,0,0,0,0,0,0,0
"8564c7b029f5a036562fd9f34ba72828","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Oxalobacteraceae",NA,NA,0,0,0,0,0,0,0.000208875606542627,0,0,0,0,0,0,0,0
"f17e8a2e7206ffeb0a054a14f6579553","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae",NA,NA,0,0,0,0,0,0,0.00465953276133552,0,1.09761652571441e-05,0,0,0,0,0.000428062902717073,0.00238202472101286
"1bcd7aa7decb9a7b3367ba34d480bea8","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae",NA,NA,0,0.00104930629195143,0.000103706899412604,2.31439961580966e-05,0,0,4.82020630482985e-05,0.00036078522326807,0.000318308792457179,0,0.00143420580853352,0.00110496547763225,0.00174875969629691,0.00016897219844095,0
"a25f19b412aad10235850c49005ef619","d__Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.379443968819e-05,0.000140119101236051
"6ea5a8bad52272978f6efef59a570dc9","d__Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000490416854326177
"025820c3761e0ca5af17b5785045d861","d__Bacteria","Cyanobacteria","Cyanobacteriia","Chloroplast","Chloroplast",NA,NA,0.00018834003938019,1.11037702852003e-05,0.000157634487107158,6.94319884742899e-05,0.000369464163861127,0.000294222211325103,0.15495356534593,0,3.29284957714323e-05,0,0,1.24854856229633e-05,1.09640106350903e-05,3.379443968819e-05,0.000760646549567132
"947eea8f98d5b7fc2dab6e755910c4f6","d__Bacteria","Cyanobacteria","Vampirivibrionia","Gastranaerophilales","Gastranaerophilales",NA,NA,0.00141255029535143,8.88301622816027e-05,0.000543424152922046,0.0015332897454739,0.00227333562049244,4.90370352208505e-05,0.000257077669590925,0.00130140384107411,0.000378677701371472,0.000220137391630894,0.000308354248834708,0.000399535539934826,0.00263136255242168,0.000112648132293967,0.000420357303708152
"8421eff7ec7f1bdc8341cf22da612f9c","d__Bacteria","Cyanobacteria","Vampirivibrionia","Vampirovibrionales","Vampirovibrionaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000270229695240955
"744323579dff3d0db4a04aafd3abbc35","d__Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae",NA,NA,3.42436435236709e-05,6.6622621711202e-05,0,6.36459894347658e-05,7.54008497675769e-06,0,0,0.000450981529085087,0.000894557468457245,0.000161865729140363,0.00107565435640014,0.000124854856229633,0.000833264808266864,0,0
"9d5e637d4afe54e642a84fa353c1f490","d__Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae",NA,NA,0.000406643266843592,0,6.22241396475625e-05,0.000109933981750959,0.000278983144140034,0,0,0.000450981529085087,0.000932974046857249,0,0.000387235568304052,0.000362079083065936,0.00207219801003207,0,0
"29b13423b620c8088ae4aa4749cfb360","d__Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Inquilinaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000180153130160637
"582b8ba79059679e75be81f21b65e430","d__Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000410348796477005
"aa467975e5194e960d5b2c2f624c8e6b","d__Bacteria","Proteobacteria","Alphaproteobacteria","Elsterales","uncultured",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000400340289245859
"6335cdbc079cf56ed4d8786b807c4bf4","d__Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000260221188009808
"8d40205b1161cb4e2599010de2d15384","d__Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00176149727268178
"7815f20467e77fbd0744bd384a2e942f","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","uncultured",NA,NA,0,0,0,0,0,0,0,0.00138515755361848,0.000823212394285808,0,0.012190749372535,0.00114242193450114,0.00161719156867582,0,0
"3d2a65ead1aa92e07569eb18dceec4cc","d__Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae",NA,NA,5.56459207259652e-05,0.000832782771390025,0.000203265522848704,7.52179875138141e-05,2.63902974186519e-05,0,0,0,0,0,0,0,0,0,0
"f5919bfdd3d08547177b379af360b811","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","uncultured",NA,NA,0,0.00032200933827081,1.24448279295125e-05,0,0,0,0,0,0,0,0,0,0,0,0
"2ae3fd535ea9d782c9463891cff96f01","d__Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,1.71218217618355e-05,0.000244282946274407,2.07413798825208e-05,0,0,0,0.0148141007101771,1.28851865452882e-05,0,0,0,0,0,0,0.000870740129109743
